,Close,High,Low,Open,Volume
2025-01-03,713.6435546875,715.0968627929688,697.5460815429688,705.6785888671875,1822243906.0
2025-01-04,713.8411865234375,721.15625,708.851318359375,713.6435546875,1524500208.0
2025-01-05,709.25830078125,713.8411865234375,703.0022583007812,713.8411865234375,1411808759.0
2025-01-06,729.4000854492188,745.153564453125,706.1865844726562,709.25830078125,2056633884.0
2025-01-07,697.368896484375,733.0914306640625,691.5519409179688,729.3932495117188,2200352831.0
2025-01-08,695.837158203125,706.7611083984375,677.1226196289062,697.368896484375,2189465209.0
2025-01-09,685.1207275390625,700.9730224609375,675.7342529296875,695.837158203125,1931492677.0
2025-01-10,693.6244506835938,700.4706420898438,683.6865844726562,685.120361328125,1680784122.0
2025-01-11,696.6578369140625,700.7665405273438,690.4573364257812,693.6244506835938,1290072226.0
2025-01-12,693.0482788085938,697.9985961914062,689.8890991210938,696.6578369140625,1291862069.0
2025-01-13,688.2675170898438,699.4813842773438,659.7593994140625,693.048095703125,2127442444.0
2025-01-14,698.6196899414062,699.8079223632812,686.4327392578125,688.2675170898438,1566844744.0
2025-01-15,714.0284423828125,714.6610107421875,688.7565307617188,698.6196899414062,1856118408.0
2025-01-16,708.2980346679688,717.0333251953125,701.2029418945312,714.0716552734375,1899114340.0
2025-01-17,721.75048828125,729.853515625,708.1862182617188,708.2980346679688,1946000436.0
2025-01-18,709.4249877929688,723.0932006835938,695.2164306640625,721.75048828125,2200623289.0
2025-01-19,682.2039794921875,713.4689331054688,676.8472900390625,709.4248046875,2841079952.0
2025-01-20,681.8033447265625,707.5763549804688,672.1893920898438,682.2048950195312,2865652878.0
2025-01-21,691.8165893554688,696.9175415039062,675.4456787109375,681.8033447265625,2008007873.0
2025-01-22,694.9832153320312,703.270263671875,690.2745361328125,691.8165893554688,1762077789.0
2025-01-23,690.2037353515625,697.00146484375,681.0576782226562,694.96484375,2277458782.0
2025-01-24,680.2131958007812,690.8380126953125,679.0867309570312,690.2037353515625,1730218663.0
2025-01-25,686.2684936523438,689.459716796875,678.1116333007812,680.2141723632812,1457363671.0
2025-01-26,666.7637939453125,690.3150024414062,665.041015625,686.2691650390625,1529267261.0
2025-01-27,679.7933349609375,679.913330078125,639.9559936523438,666.7637939453125,2295184879.0
2025-01-28,661.424560546875,682.856689453125,659.5821533203125,679.7933349609375,1659082131.0
2025-01-29,667.6857299804688,678.9920654296875,660.2319946289062,661.426025390625,1716776649.0
2025-01-30,677.5535888671875,682.32470703125,666.649169921875,667.7298583984375,1506319921.0
2025-01-31,677.3753662109375,689.2151489257812,673.79345703125,677.5572509765625,1589542506.0
2025-02-01,653.4329223632812,681.2196044921875,651.126220703125,677.3399047851562,1544346912.0
2025-02-02,617.6006469726562,662.6337280273438,602.7611694335938,653.4325561523438,2282982721.0
2025-02-03,617.1207885742188,619.1079711914062,519.1922607421875,617.6006469726562,3960962742.0
2025-02-04,573.3278198242188,619.3443603515625,559.2634887695312,617.1207885742188,2336864401.0
2025-02-05,569.7468872070312,578.96240234375,562.0692749023438,573.3278198242188,1494467850.0
2025-02-06,572.2740478515625,589.00634765625,569.597412109375,569.7468872070312,1722558011.0
2025-02-07,578.0668334960938,589.6243286132812,571.2775268554688,572.2747192382812,1583843573.0
2025-02-08,613.32421875,633.0552368164062,574.0418701171875,578.0668334960938,2087349099.0
2025-02-09,616.64208984375,647.7876586914062,603.4038696289062,613.32421875,2630256614.0
2025-02-10,618.3145141601562,621.4203491210938,597.0648193359375,616.64208984375,1860480297.0
2025-02-11,642.5872802734375,646.0993041992188,615.691650390625,618.3145141601562,2162944541.0
2025-02-12,698.037353515625,704.7020263671875,627.5713500976562,642.5872802734375,3007130370.0
2025-02-13,668.2775268554688,730.834716796875,660.646728515625,698.037353515625,5139846836.0
2025-02-14,658.0436401367188,683.9999389648438,652.4675903320312,668.2775268554688,2581045409.0
2025-02-15,662.3276977539062,670.7623291015625,654.4702758789062,658.0436401367188,1794465917.0
2025-02-16,674.100830078125,685.0858764648438,654.3810424804688,662.3275756835938,2009553142.0
2025-02-17,667.2290649414062,681.6255493164062,659.2930908203125,674.100830078125,1942930816.0
2025-02-18,647.443359375,667.759521484375,630.6552734375,667.2362060546875,1985512627.0
2025-02-19,653.5147094726562,659.9885864257812,638.140869140625,647.443603515625,1916599180.0
2025-02-20,657.2009887695312,658.9291381835938,646.6703491210938,653.5147094726562,1709065792.0
2025-02-21,646.8995361328125,668.0032958984375,635.3399047851562,657.2009887695312,1926193637.0
2025-02-22,668.5747680664062,679.123291015625,645.6533813476562,646.8995361328125,1899367077.0
2025-02-23,657.9036865234375,671.0719604492188,648.9799194335938,668.574462890625,1502735946.0
2025-02-24,613.9630126953125,659.1483154296875,612.8212280273438,657.9036865234375,1901201673.0
2025-02-25,622.9407958984375,627.2440185546875,589.2698364257812,613.9630126953125,2591258749.0
2025-02-26,610.6930541992188,630.8197631835938,595.2650146484375,622.9407958984375,1996066325.0
2025-02-27,605.1236572265625,618.6282348632812,595.80029296875,610.6930541992188,1866447677.0
2025-02-28,587.4515991210938,605.4012451171875,559.970458984375,605.1236572265625,2166029990.0
2025-03-01,607.5115356445312,608.8959350585938,586.5928344726562,587.44580078125,1694454521.0
2025-03-02,622.9360961914062,634.5426635742188,602.6329956054688,607.5109252929688,2130538305.0
2025-03-03,575.1699829101562,623.299560546875,568.5407104492188,622.9360961914062,2161303026.0
2025-03-04,583.5868530273438,587.8701782226562,551.6925048828125,575.1699829101562,1969539538.0
2025-03-05,597.975830078125,604.5371704101562,581.321533203125,583.5859985351562,1534770591.0
2025-03-06,596.7237548828125,612.0313110351562,589.891357421875,597.975830078125,1621101888.0
2025-03-07,593.96337890625,609.43115234375,579.3677978515625,596.7236938476562,1866542048.0
2025-03-08,593.0808715820312,601.6478881835938,591.710205078125,593.9637451171875,1147671365.0
2025-03-09,554.5804443359375,593.0997314453125,551.1481323242188,593.0823974609375,1540503120.0
2025-03-10,532.1218872070312,572.0503540039062,524.99609375,554.5804443359375,1896805158.0
2025-03-11,551.4745483398438,565.158203125,509.835693359375,532.106201171875,2438043846.0
2025-03-12,569.8948364257812,574.4215698242188,545.266845703125,551.4745483398438,1792696031.0
2025-03-13,579.2188110351562,603.405029296875,568.1260375976562,569.8948364257812,2402408414.0
2025-03-14,587.1362915039062,589.1632080078125,577.2465209960938,579.2188110351562,1535548122.0
2025-03-15,619.486083984375,619.49951171875,587.083984375,587.1140747070312,1403335470.0
2025-03-16,602.2166137695312,621.3615112304688,593.9570922851562,619.4927368164062,1437680152.0
2025-03-17,631.3626098632812,643.0403442382812,602.2096557617188,602.2096557617188,2488514984.0
2025-03-18,628.1344604492188,642.8888549804688,622.400146484375,631.3464965820312,2175151767.0
2025-03-19,619.2575073242188,628.1376342773438,605.617919921875,628.1344604492188,2006233746.0
2025-03-20,629.9424438476562,637.2163696289062,616.9637451171875,619.2509765625,2327219768.0
2025-03-21,634.6077880859375,637.1900634765625,625.8570556640625,629.9424438476562,1472201311.0
2025-03-22,626.5744018554688,635.7655029296875,624.1967163085938,634.5969848632812,1182741851.0
2025-03-23,623.3494873046875,628.9656372070312,619.8584594726562,626.5744018554688,1222239081.0
2025-03-24,636.64453125,639.0225830078125,619.0501708984375,623.3494873046875,1788439257.0
2025-03-25,629.94287109375,644.874267578125,627.444091796875,636.6449584960938,2238118522.0
2025-03-26,617.8167724609375,634.0476684570312,615.8455200195312,629.9423828125,1600178624.0
2025-03-27,637.2069702148438,641.4896240234375,617.6777954101562,617.8167724609375,2441273622.0
2025-03-28,619.4749145507812,637.2418823242188,615.9251098632812,637.2064208984375,1608298526.0
2025-03-29,603.2378540039062,623.21240234375,598.2188110351562,619.474609375,1367332800.0
2025-03-30,601.8302001953125,612.7893676757812,594.21435546875,603.1913452148438,1204098085.0
2025-03-31,605.0728149414062,608.5010986328125,588.086181640625,601.8302001953125,1538796118.0
2025-04-01,611.297119140625,618.123779296875,604.7547607421875,605.0728149414062,2091803391.0
2025-04-02,590.6375732421875,611.5181884765625,585.1218872070312,611.297119140625,1835749587.0
2025-04-03,592.1244506835938,609.3446655273438,579.444091796875,590.6375732421875,2067033502.0
2025-04-04,597.5794067382812,599.4798583984375,585.3539428710938,592.1237182617188,1520730677.0
2025-04-05,593.1148681640625,598.5463256835938,589.9329833984375,597.5792846679688,1008300251.0
2025-04-06,554.5949096679688,593.4614868164062,545.3226928710938,593.1387939453125,1679604717.0
2025-04-07,554.4833984375,564.7924194335938,522.7157592773438,554.5949096679688,2852045942.0
2025-04-08,553.4674072265625,564.938232421875,548.1412353515625,554.4859008789062,1676208165.0
2025-04-09,582.3693237304688,585.6036987304688,534.8805541992188,553.4674072265625,1963610005.0
2025-04-10,577.4059448242188,582.3907470703125,567.2200927734375,582.378173828125,1731740429.0
2025-04-11,586.0889892578125,589.8585205078125,575.7572631835938,577.4059448242188,1369541748.0
2025-04-12,597.123046875,600.055908203125,583.9794921875,586.0889892578125,1331878416.0
2025-04-13,584.04248046875,597.5099487304688,580.824462890625,597.1232299804688,1318461096.0
2025-04-14,584.335205078125,592.5643920898438,583.3970336914062,584.04248046875,1359554984.0
2025-04-15,579.68603515625,590.5156860351562,579.6400756835938,584.3346557617188,1329270099.0
2025-04-16,582.8062133789062,585.4108276367188,576.459228515625,579.6860961914062,1435912484.0
2025-04-17,590.1621704101562,592.8593139648438,581.203857421875,582.8062133789062,1401643770.0
2025-04-18,591.7638549804688,595.766357421875,587.26611328125,590.1621704101562,1418376835.0
2025-04-19,591.7767944335938,594.1421508789062,587.9763793945312,591.7638549804688,1227124904.0
2025-04-20,592.972412109375,595.1541137695312,587.765380859375,591.7767944335938,1307477245.0
2025-04-21,597.4141845703125,607.8202514648438,592.6761474609375,592.972412109375,1430343137.0
2025-04-22,618.8269653320312,618.9900512695312,595.8809814453125,597.4171752929688,1734142941.0
